Description:
Note:\Note
Interval:5min
Start date: 2:04:05,  1 Oct 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
26100,38.063,0.235,0.147,0.379,0.249,0.339,0.203,0.397,0.249,0.396,0.266,0.385,0.258,0.355,0.258,0.318,0.191,
26400,37.956,0.232,0.148,0.391,0.264,0.36,0.222,0.409,0.258,0.401,0.265,0.402,0.28,0.345,0.247,0.337,0.21,
26700,38.069,0.237,0.154,0.39,0.261,0.363,0.221,0.414,0.267,0.401,0.268,0.391,0.263,0.365,0.26,0.346,0.212,
27000,38.058,0.241,0.155,0.394,0.261,0.365,0.226,0.416,0.263,0.407,0.272,0.387,0.265,0.369,0.262,0.349,0.214,
27300,38.03,0.233,0.153,0.404,0.27,0.369,0.232,0.428,0.275,0.415,0.273,0.406,0.277,0.376,0.263,0.368,0.222,
27600,37.978,0.242,0.164,0.402,0.266,0.377,0.229,0.437,0.283,0.434,0.29,0.414,0.285,0.383,0.27,0.364,0.224,
27900,38.003,0.231,0.144,0.405,0.27,0.377,0.233,0.432,0.274,0.436,0.289,0.43,0.288,0.39,0.273,0.361,0.228,
28200,38.009,0.242,0.159,0.422,0.276,0.382,0.224,0.449,0.285,0.447,0.297,0.433,0.292,0.395,0.282,0.376,0.235,
28500,37.963,0.253,0.164,0.422,0.281,0.385,0.232,0.444,0.28,0.45,0.305,0.429,0.291,0.408,0.289,0.382,0.244,
28800,37.961,0.25,0.17,0.436,0.28,0.398,0.242,0.449,0.283,0.448,0.295,0.435,0.296,0.406,0.293,0.384,0.24,
29100,38.016,0.248,0.168,0.43,0.285,0.414,0.255,0.468,0.302,0.468,0.313,0.458,0.312,0.419,0.293,0.405,0.26,
29400,37.945,0.249,0.164,0.437,0.29,0.408,0.242,0.47,0.299,0.476,0.314,0.452,0.309,0.424,0.301,0.401,0.238,
29700,38.001,0.265,0.179,0.453,0.303,0.421,0.254,0.478,0.297,0.488,0.327,0.471,0.324,0.432,0.299,0.403,0.248,
30000,37.965,0.249,0.159,0.448,0.296,0.43,0.261,0.483,0.307,0.493,0.326,0.466,0.315,0.457,0.326,0.417,0.257,
30300,38.069,0.249,0.162,0.463,0.31,0.434,0.268,0.497,0.309,0.497,0.335,0.48,0.325,0.443,0.304,0.428,0.261,
30600,37.927,0.263,0.179,0.464,0.306,0.436,0.267,0.504,0.325,0.509,0.338,0.498,0.34,0.457,0.33,0.43,0.272,
30900,37.91,0.258,0.17,0.468,0.308,0.442,0.267,0.505,0.322,0.513,0.343,0.494,0.334,0.471,0.335,0.436,0.275,
31200,37.976,0.264,0.173,0.478,0.312,0.46,0.278,0.521,0.338,0.527,0.353,0.503,0.342,0.482,0.334,0.462,0.299,
31500,38.05,0.254,0.166,0.484,0.32,0.469,0.287,0.531,0.344,0.537,0.359,0.506,0.346,0.5,0.351,0.459,0.29,
31800,38.025,0.27,0.181,0.501,0.334,0.456,0.272,0.533,0.339,0.554,0.37,0.526,0.357,0.496,0.351,0.455,0.285,
32100,38.027,0.264,0.174,0.508,0.337,0.46,0.273,0.543,0.342,0.556,0.371,0.54,0.373,0.504,0.36,0.469,0.287,
32400,38.021,0.274,0.182,0.51,0.338,0.49,0.299,0.565,0.364,0.577,0.385,0.555,0.381,0.516,0.366,0.479,0.305,
32700,37.976,0.266,0.175,0.51,0.336,0.504,0.308,0.556,0.352,0.581,0.382,0.556,0.381,0.529,0.367,0.486,0.304,
33001,37.989,0.275,0.182,0.528,0.347,0.496,0.301,0.565,0.358,0.58,0.383,0.566,0.385,0.536,0.376,0.499,0.317,
33301,37.989,0.279,0.19,0.532,0.355,0.509,0.307,0.582,0.37,0.606,0.403,0.584,0.396,0.567,0.4,0.52,0.332,
33601,38.021,0.284,0.188,0.539,0.353,0.52,0.316,0.584,0.367,0.628,0.421,0.598,0.411,0.552,0.394,0.531,0.341,
